cve,build_ok,critic_ok,seconds,marker
CVE-2015-7547,1,1,781,repo-built
CVE-2016-9318,1,1,825,repo-built
CVE-2019-5481,1,1,208,repo-built
CVE-2020-10648,1,1,111,repo-built
CVE-2020-1971,1,1,806,repo-built
CVE-2020-22218,1,1,779,repo-built
CVE-2021-20227,1,1,1631,repo-built
CVE-2021-3517,1,1,1265,repo-built
CVE-2021-3518,1,1,67,repo-built
CVE-2021-36369,1,1,56,repo-built
CVE-2021-3711,1,1,77,repo-built
CVE-2021-3712,1,1,331,repo-built
CVE-2021-42374,1,1,348,repo-built
CVE-2021-42376,1,1,233,repo-built
CVE-2021-42378,1,1,120,repo-built
CVE-2021-42379,1,1,1203,repo-built
CVE-2021-42386,1,1,131,repo-built
CVE-2021-44228,1,1,107,repo-built
CVE-2022-0547,1,1,790,repo-built
CVE-2022-0778,1,1,139,repo-built
CVE-2022-2068,1,1,216,repo-built
CVE-2022-22822,1,1,262,repo-built
CVE-2022-22965,1,1,93,repo-built
CVE-2022-25235,1,1,859,repo-built
CVE-2022-25236,1,1,789,repo-built
CVE-2022-25315,1,1,78,repo-built
CVE-2022-27774,1,1,123,repo-built
CVE-2022-28391,1,1,56,repo-built
CVE-2022-29824,1,1,114,repo-built
CVE-2022-40303,1,1,869,repo-built
CVE-2022-40304,1,1,1612,repo-built
CVE-2022-4304,1,1,91,repo-built
CVE-2023-27533,1,1,83,repo-built
CVE-2023-27536,1,1,876,repo-built
CVE-2023-28484,1,1,244,repo-built
CVE-2023-34035,1,1,1196,repo-built
CVE-2023-38545,1,1,1111,repo-built
CVE-2023-45322,1,1,147,repo-built
CVE-2023-46218,1,1,870,repo-built
CVE-2023-4911,1,1,111,repo-built
CVE-2023-52425,1,1,77,repo-built
CVE-2024-2379,1,1,2230,repo-built
CVE-2024-2961,1,1,104,repo-built
CVE-2024-6387,1,1,1571,repo-built
CVE-2018-8740,1,1,510,repo-built
CVE-2020-11655,1,1,115,repo-built
CVE-2020-8177,1,1,130,repo-built
CVE-2021-23840,1,1,1131,repo-built
CVE-2018-14567,1,1,821,repo-built
CVE-2018-18065,1,1,852,repo-built
CVE-2018-20843,1,1,903,repo-built
CVE-2019-13103,1,1,129,repo-built
CVE-2019-13106,1,1,142,repo-built
CVE-2019-3855,1,1,861,repo-built
CVE-2019-3856,1,1,122,repo-built
CVE-2019-5482,1,1,800,repo-built
CVE-2022-22576,1,1,1540,repo-built
CVE-2022-41742,1,1,167,repo-built
CVE-2023-0286,1,1,781,repo-built
CVE-2017-16544,1,1,861,"repo-built"
CVE-2020-15778,1,1,171,"repo-built"
CVE-2021-3450,1,1,195,"repo-built"
CVE-2022-23852,1,1,813,"repo-built"
CVE-2022-46908,1,1,91,"repo-built"
CVE-2023-0215,1,1,123,"repo-built"
CVE-2023-46850,1,1,127,"repo-built"
CVE-2019-3858,1,1,9998,"repo-built"
CVE-2019-6111,1,1,2490,"repo-built"
CVE-2019-8457,0,0,3174,"failed"
CVE-2020-13434,0,0,4347,"failed"
CVE-2020-13630,0,0,7272,"failed"
CVE-2021-33574,1,1,466,"repo-built"
CVE-2021-35942,0,0,9988,"failed"
CVE-2021-3999,1,1,727,"repo-built"
CVE-2021-41617,0,0,3001,"failed"
CVE-2021-42375,0,0,2946,"failed"
CVE-2021-42380,1,1,701,"repo-built"
CVE-2022-1292,1,1,3732,"repo-built"
CVE-2022-32221,1,1,1411,"repo-built"
CVE-2023-7104,0,0,6241,"failed"
CVE-2017-13077,0,0,2357,"failed"
CVE-2017-13078,0,0,26,"failed"
CVE-2018-14526,0,0,27,"failed"
CVE-2022-23303,1,1,208,"repo-built"
CVE-2017-14491,1,1,814,"repo-built"
CVE-2020-25681,1,1,2501,"repo-built"
CVE-2020-25684,0,0,150,"failed"
CVE-2023-28450,0,0,28,"failed"
CVE-2016-9840,1,1,69,"repo-built"
CVE-2016-9841,1,1,51,"repo-built"
CVE-2018-15473,1,1,889,"repo-built"
CVE-2018-25032,1,1,65,"repo-built"
CVE-2019-15903,1,1,962,"repo-built"
CVE-2019-17498,1,1,154,"repo-built"
CVE-2021-31571,1,1,169,"repo-built"
CVE-2021-31572,0,0,126,"failed"
CVE-2022-37434,1,1,68,"repo-built"
CVE-2023-38408,1,1,172,"repo-built"
CVE-2023-44487,1,1,71,"repo-built"
CVE-2023-48795,1,1,535,"repo-built"
CVE-2023-7256,1,1,897,"repo-built"
